"File","LineNumber","Match","FileName"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V39__Update_Missing_Image_URLs.sql","7","signs/danger_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V39__Update_Missing_Image_URLs.sql","13","signs/priority_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V39__Update_Missing_Image_URLs.sql","19","signs/prohibition_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V39__Update_Missing_Image_URLs.sql","25","signs/mandatory_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V39__Update_Missing_Image_URLs.sql","31","signs/parking_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V39__Update_Missing_Image_URLs.sql","37","signs/information_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V39__Update_Missing_Image_URLs.sql","43","signs/additional_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V39__Update_Missing_Image_URLs.sql","49","signs/zone_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V39__Update_Missing_Image_URLs.sql","55","signs/additional_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","10","signs/danger_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","19","signs/priority_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","28","signs/prohibition_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","37","signs/mandatory_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","46","signs/parking_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","55","signs/information_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","65","signs/additional_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","74","signs/zone_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","83","signs/delineation_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","92","signs/bicycle_signs/', sign_code, '.png","', sign_code, '.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V118__Fix_All_Image_URLs.sql","2","signs/{english_folder}/{filename}.png","{filename}.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V50__Fix_Traffic_Sign_Image_Paths.sql","5","signs/{english_folder_name}/{sign_code}.png","{sign_code}.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V103__Reload_All_Missing_Traffic_Signs.sql","22","signs/danger_signs/A11 Slecht wegdek (oneffenheden).png","A11 Slecht wegdek (oneffenheden).png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V135__Fix_A_Series_Image_URL_After_V130_Name_Swap.sql","53","signs/danger_signs/A11 Slecht wegdek (oneffenheden).png","A11 Slecht wegdek (oneffenheden).png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V135__Fix_A_Series_Image_URL_After_V130_Name_Swap.sql","126","signs/danger_signs/A11 Slecht wegdek (oneffenheden).png","A11 Slecht wegdek (oneffenheden).png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V122__Fix_A_Series_Official_Names_And_Images.sql","95","signs/danger_signs/A11 Uitweg op een kaai of oever.png","A11 Uitweg op een kaai of oever.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","84","signs/danger_signs/A11.png","A11.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","101","signs/danger_signs/A13.png","A13.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","118","signs/danger_signs/A14.png","A14.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V103__Reload_All_Missing_Traffic_Signs.sql","25","signs/danger_signs/A15 Slipgevaar - glad wegdek.png","A15 Slipgevaar - glad wegdek.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V134__Fix_All_Remaining_Image_URLs_And_Missing_Signs.sql","19","signs/danger_signs/A15 Slipgevaar - glad wegdek.png","A15 Slipgevaar - glad wegdek.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","135","signs/danger_signs/A15.png","A15.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V122__Fix_A_Series_Official_Names_And_Images.sql","114","signs/danger_signs/A17 Losliggende steenslag.png","A17 Losliggende steenslag.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V103__Reload_All_Missing_Traffic_Signs.sql","26","signs/danger_signs/A17 Zijdelingse wind.png","A17 Zijdelingse wind.png"
"C:\Users\haydar\Desktop\end_project\.claude\settings.local.json","59","signs/danger_signs/A17%20Kiezelprojectie.png","A17%20Kiezelprojectie.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","152","signs/danger_signs/A17.png","A17.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V122__Fix_A_Series_Official_Names_And_Images.sql","120","signs/danger_signs/A19 Vallende stenen.png","A19 Vallende stenen.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V6__Add_All_Traffic_Signs.sql","169","signs/danger_signs/A19.png","A19.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V103__Reload_All_Missing_Traffic_Signs.sql","13","signs/danger_signs/A1a Gevaarlijke bocht naar rechts.png","A1a Gevaarlijke bocht naar rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V135__Fix_A_Series_Image_URL_After_V130_Name_Swap.sql","15","signs/danger_signs/A1a Gevaarlijke bocht naar rechts.png","A1a Gevaarlijke bocht naar rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V135__Fix_A_Series_Image_URL_After_V130_Name_Swap.sql","72","signs/danger_signs/A1a Gevaarlijke bocht naar rechts.png","A1a Gevaarlijke bocht naar rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V143__Fix_A_Series_Sign_Names_And_Image_Swap.sql","70","signs/danger_signs/A1a Gevaarlijke bocht naar rechts.png","A1a Gevaarlijke bocht naar rechts.png"
"C:\Users\haydar\Desktop\end_project\readyroad\src\main\resources\db\migration\V143__Fix_A_Series_Sign_Names_And_Image_Swap.sql","71","signs/danger_signs/A1a Gevaarlijke bocht naar rechts.png","A1a Gevaarlijke bocht naar rechts.png"
